EXPERIMENT_NUMBER,ELM_TYPE,DATASET,HIDDEN_LYR_SIZE,TRIGGER_TYPE,TARGET_LABEL,POISON_PERCENTAGE,TRIGGER_SIZE,TEST_ACCURACY,BD_TEST_ACCURACY,TIME_ELAPSED
1,poelm,fmnist,2000,badnet,0,0.02,"(8, 8)",0.8462,0.25366666666666665,286.2239444255829
0,poelm,fmnist,2000,badnet,0,0.05,"(2, 2)",0.8461,0.026333333333333334,285.90063858032227
1,poelm,fmnist,2000,badnet,0,0.05,"(2, 2)",0.8461,0.026333333333333334,286.1950135231018
0,poelm,fmnist,2000,badnet,0,0.05,"(4, 4)",0.8462,0.0898888888888889,286.07973051071167
1,poelm,fmnist,2000,badnet,0,0.05,"(4, 4)",0.8462,0.0898888888888889,286.27233362197876
0,poelm,fmnist,2000,badnet,0,0.05,"(8, 8)",0.8464,0.6377777777777778,285.0764756202698
1,poelm,fmnist,2000,badnet,0,0.05,"(8, 8)",0.8464,0.6377777777777778,285.96914982795715
0,poelm,fmnist,2000,badnet,0,0.1,"(2, 2)",0.8464,0.041777777777777775,288.0455298423767
1,poelm,fmnist,2000,badnet,0,0.1,"(2, 2)",0.8464,0.041777777777777775,286.18453216552734
0,poelm,fmnist,2000,badnet,0,0.1,"(4, 4)",0.8463,0.22722222222222221,263.6336236000061
1,poelm,fmnist,2000,badnet,0,0.1,"(4, 4)",0.8463,0.22722222222222221,285.5369539260864
0,poelm,fmnist,2000,badnet,0,0.1,"(8, 8)",0.8463,0.8786666666666667,285.94741702079773
1,poelm,fmnist,2000,badnet,0,0.1,"(8, 8)",0.8463,0.8786666666666667,285.9639799594879
0,poelm,fmnist,2000,badnet,0,0.2,"(2, 2)",0.8458,0.08433333333333333,285.98940801620483
1,poelm,fmnist,2000,badnet,0,0.2,"(2, 2)",0.8458,0.08433333333333333,285.834463596344
0,poelm,fmnist,2000,badnet,0,0.2,"(4, 4)",0.846,0.5094444444444445,286.0527367591858
1,poelm,fmnist,2000,badnet,0,0.2,"(4, 4)",0.846,0.5094444444444445,286.0946910381317
0,poelm,fmnist,2000,badnet,0,0.2,"(8, 8)",0.8464,0.9711111111111111,285.91816902160645
1,poelm,fmnist,2000,badnet,0,0.2,"(8, 8)",0.8464,0.9711111111111111,286.11579942703247
0,elm-pca,fmnist,500,badnet,0,0.02,"(2, 2)",0.8121,0.02822222222222222,14.909321784973145
1,elm-pca,fmnist,500,badnet,0,0.02,"(2, 2)",0.8121,0.02822222222222222,14.909290790557861
0,elm-pca,fmnist,500,badnet,0,0.02,"(4, 4)",0.8103,0.02711111111111111,14.924241542816162
1,elm-pca,fmnist,500,badnet,0,0.02,"(4, 4)",0.8103,0.02711111111111111,14.934848070144653
0,elm-pca,fmnist,500,badnet,0,0.02,"(8, 8)",0.8119,0.19855555555555557,14.951820135116577
1,elm-pca,fmnist,500,badnet,0,0.02,"(8, 8)",0.8119,0.19855555555555557,14.922059297561646
0,elm-pca,fmnist,500,badnet,0,0.05,"(2, 2)",0.813,0.03344444444444444,14.888316631317139
1,elm-pca,fmnist,500,badnet,0,0.05,"(2, 2)",0.813,0.03344444444444444,14.954108476638794
0,elm-pca,fmnist,500,badnet,0,0.05,"(4, 4)",0.8109,0.06122222222222222,14.970679759979248
1,elm-pca,fmnist,500,badnet,0,0.05,"(4, 4)",0.8109,0.06122222222222222,14.926783561706543
0,elm-pca,fmnist,500,badnet,0,0.05,"(8, 8)",0.8109,0.29033333333333333,14.902600049972534
1,elm-pca,fmnist,500,badnet,0,0.05,"(8, 8)",0.8109,0.29033333333333333,14.929180145263672
0,elm-pca,fmnist,500,badnet,0,0.1,"(2, 2)",0.8116,0.056,14.942559480667114
1,elm-pca,fmnist,500,badnet,0,0.1,"(2, 2)",0.8116,0.056,14.961134433746338
0,elm-pca,fmnist,500,badnet,0,0.1,"(4, 4)",0.8104,0.089,14.892945051193237
1,elm-pca,fmnist,500,badnet,0,0.1,"(4, 4)",0.8104,0.089,14.848711729049683
0,elm-pca,fmnist,500,badnet,0,0.1,"(8, 8)",0.8103,0.5157777777777778,14.934574365615845
1,elm-pca,fmnist,500,badnet,0,0.1,"(8, 8)",0.8103,0.5157777777777778,14.959374189376831
0,elm-pca,fmnist,500,badnet,0,0.2,"(2, 2)",0.8099,0.048,14.889776945114136
1,elm-pca,fmnist,500,badnet,0,0.2,"(2, 2)",0.8099,0.048,14.952742099761963
0,elm-pca,fmnist,500,badnet,0,0.2,"(4, 4)",0.8116,0.20244444444444445,14.921900033950806
1,elm-pca,fmnist,500,badnet,0,0.2,"(4, 4)",0.8116,0.20244444444444445,14.97046422958374
0,elm-pca,fmnist,500,badnet,0,0.2,"(8, 8)",0.8094,0.7981111111111111,14.941589117050171
1,elm-pca,fmnist,500,badnet,0,0.2,"(8, 8)",0.8094,0.7981111111111111,14.905256748199463
0,elm-pca,fmnist,700,badnet,0,0.02,"(2, 2)",0.8219,0.030333333333333334,18.17427372932434
1,elm-pca,fmnist,700,badnet,0,0.02,"(2, 2)",0.8219,0.030333333333333334,18.179262161254883
0,elm-pca,fmnist,700,badnet,0,0.02,"(4, 4)",0.8187,0.04744444444444444,18.194883108139038
1,elm-pca,fmnist,700,badnet,0,0.02,"(4, 4)",0.8187,0.04744444444444444,18.213356018066406
0,elm-pca,fmnist,700,badnet,0,0.02,"(8, 8)",0.8197,0.28633333333333333,18.27602505683899
1,elm-pca,fmnist,700,badnet,0,0.02,"(8, 8)",0.8197,0.28633333333333333,18.26210880279541
0,elm-pca,fmnist,700,badnet,0,0.05,"(2, 2)",0.8215,0.033666666666666664,18.18524670600891
1,elm-pca,fmnist,700,badnet,0,0.05,"(2, 2)",0.8215,0.033666666666666664,18.22782874107361
0,elm-pca,fmnist,700,badnet,0,0.05,"(4, 4)",0.8183,0.058555555555555555,18.273945808410645
1,elm-pca,fmnist,700,badnet,0,0.05,"(4, 4)",0.8183,0.058555555555555555,18.20075225830078
0,elm-pca,fmnist,700,badnet,0,0.05,"(8, 8)",0.8187,0.37344444444444447,18.19432234764099
1,elm-pca,fmnist,700,badnet,0,0.05,"(8, 8)",0.8187,0.37344444444444447,18.21841335296631
0,elm-pca,fmnist,700,badnet,0,0.1,"(2, 2)",0.8203,0.051,18.309442043304443
1,elm-pca,fmnist,700,badnet,0,0.1,"(2, 2)",0.8203,0.051,18.300021648406982
0,elm-pca,fmnist,700,badnet,0,0.1,"(4, 4)",0.8226,0.09588888888888888,18.18963932991028
1,elm-pca,fmnist,700,badnet,0,0.1,"(4, 4)",0.8226,0.09588888888888888,18.2229585647583
0,elm-pca,fmnist,700,badnet,0,0.1,"(8, 8)",0.8175,0.6081111111111112,18.204710006713867
1,elm-pca,fmnist,700,badnet,0,0.1,"(8, 8)",0.8175,0.6081111111111112,18.184387683868408
0,elm-pca,fmnist,700,badnet,0,0.2,"(2, 2)",0.821,0.05433333333333333,18.25258159637451
1,elm-pca,fmnist,700,badnet,0,0.2,"(2, 2)",0.821,0.05433333333333333,18.262980937957764
0,elm-pca,fmnist,700,badnet,0,0.2,"(4, 4)",0.8204,0.29988888888888887,18.18206524848938
1,elm-pca,fmnist,700,badnet,0,0.2,"(4, 4)",0.8204,0.29988888888888887,18.212791204452515
0,elm-pca,fmnist,700,badnet,0,0.2,"(8, 8)",0.8201,0.8454444444444444,18.24278497695923
1,elm-pca,fmnist,700,badnet,0,0.2,"(8, 8)",0.8201,0.8454444444444444,18.27598214149475
0,elm-pca,fmnist,1000,badnet,0,0.02,"(2, 2)",0.8295,0.029,23.547006368637085
1,elm-pca,fmnist,1000,badnet,0,0.02,"(2, 2)",0.8295,0.029,23.58658742904663
0,elm-pca,fmnist,1000,badnet,0,0.02,"(4, 4)",0.8292,0.04888888888888889,23.428722620010376
1,elm-pca,fmnist,1000,badnet,0,0.02,"(4, 4)",0.8292,0.04888888888888889,23.73187804222107
0,elm-pca,fmnist,1000,badnet,0,0.02,"(8, 8)",0.8314,0.31622222222222224,23.472846031188965
1,elm-pca,fmnist,1000,badnet,0,0.02,"(8, 8)",0.8314,0.31622222222222224,23.518423557281494
0,elm-pca,fmnist,1000,badnet,0,0.05,"(2, 2)",0.831,0.03411111111111111,23.454588174819946
1,elm-pca,fmnist,1000,badnet,0,0.05,"(2, 2)",0.831,0.03411111111111111,23.481335401535034
0,elm-pca,fmnist,1000,badnet,0,0.05,"(4, 4)",0.8303,0.07255555555555555,23.47688055038452
1,elm-pca,fmnist,1000,badnet,0,0.05,"(4, 4)",0.8303,0.07255555555555555,23.44482731819153
0,elm-pca,fmnist,1000,badnet,0,0.05,"(8, 8)",0.8334,0.4328888888888889,23.497138261795044
1,elm-pca,fmnist,1000,badnet,0,0.05,"(8, 8)",0.8334,0.4328888888888889,23.56825566291809
0,elm-pca,fmnist,1000,badnet,0,0.1,"(2, 2)",0.8303,0.05388888888888889,23.47387146949768
1,elm-pca,fmnist,1000,badnet,0,0.1,"(2, 2)",0.8303,0.05388888888888889,23.592493057250977
0,elm-pca,fmnist,1000,badnet,0,0.1,"(4, 4)",0.8325,0.15155555555555555,23.575863122940063
1,elm-pca,fmnist,1000,badnet,0,0.1,"(4, 4)",0.8325,0.15155555555555555,23.52138328552246
0,elm-pca,fmnist,1000,badnet,0,0.1,"(8, 8)",0.8281,0.7365555555555555,23.596859216690063
1,elm-pca,fmnist,1000,badnet,0,0.1,"(8, 8)",0.8281,0.7365555555555555,23.595035791397095
0,elm-pca,fmnist,1000,badnet,0,0.2,"(2, 2)",0.8306,0.06644444444444444,23.57267999649048
1,elm-pca,fmnist,1000,badnet,0,0.2,"(2, 2)",0.8306,0.06644444444444444,23.532286167144775
0,elm-pca,fmnist,1000,badnet,0,0.2,"(4, 4)",0.8336,0.4262222222222222,23.46672821044922
1,elm-pca,fmnist,1000,badnet,0,0.2,"(4, 4)",0.8336,0.4262222222222222,23.596105337142944
0,elm-pca,fmnist,1000,badnet,0,0.2,"(8, 8)",0.8297,0.9072222222222223,23.527724504470825
1,elm-pca,fmnist,1000,badnet,0,0.2,"(8, 8)",0.8297,0.9072222222222223,23.418171167373657
0,elm-pca,fmnist,1500,badnet,0,0.02,"(2, 2)",0.8382,0.027555555555555555,32.71529006958008
1,elm-pca,fmnist,1500,badnet,0,0.02,"(2, 2)",0.8382,0.027555555555555555,32.88750743865967
