EXPERIMENT_NUMBER,DATASET,HIDDEN_LYR_SIZE,TRIGGER_TYPE,TARGET_LABEL,POISON_PERCENTAGE,TRIGGER_SIZE,TEST_ACCURACY,BD_TEST_ACCURACY
0,brats,5000,badnet,0,5.0,"(8, 8)",0.7614213197969543,0.36678200692041524
0,brats,5000,badnet,0,50.0,"(2, 2)",0.7690355329949239,0.9584775086505191
0,brats,5000,badnet,0,50.0,"(4, 4)",0.7461928934010152,0.9826989619377162
0,brats,5000,badnet,0,50.0,"(8, 8)",0.8299492385786802,0.49480968858131485
0,brats,5000,badnet,0,100.0,"(2, 2)",0.7309644670050761,0.02422145328719723
0,brats,5000,badnet,0,100.0,"(4, 4)",0.7360406091370558,0.02768166089965398
0,brats,5000,badnet,0,100.0,"(8, 8)",0.6928934010152284,0.0034602076124567475
0,brats,8000,badnet,0,5.0,"(2, 2)",0.6649746192893401,0.328719723183391
0,brats,8000,badnet,0,5.0,"(4, 4)",0.7081218274111675,0.2837370242214533
0,brats,8000,badnet,0,5.0,"(8, 8)",0.8121827411167513,0.7993079584775087
0,brats,8000,badnet,0,50.0,"(2, 2)",0.6294416243654822,0.25259515570934254
0,brats,8000,badnet,0,50.0,"(8, 8)",0.7868020304568528,0.7958477508650519
0,brats,8000,badnet,0,50.0,"(4, 4)",0.7030456852791879,0.5190311418685121
0,brats,8000,badnet,0,100.0,"(4, 4)",0.7157360406091371,0.01384083044982699
0,brats,8000,badnet,0,100.0,"(2, 2)",0.7182741116751269,0.020761245674740483
0,brats,8000,badnet,0,100.0,"(8, 8)",0.682741116751269,0.0034602076124567475
